disease,area_reported,mean_incidence,std_incidence,mean_cases,std_cases,population,weeks,lower_threshold,upper_threshold,outbreak_threshold
Tuberculosis,Kandy,0.836947531638528,0.9215658151527291,12.235294117647058,13.47232457342699,1461895,51,0.0,1.758513346791257,2.6800791619439863
Tuberculosis,Kegalle,0.7928950119605509,0.5529782539711099,6.901960784313726,4.813542986037557,870476,51,0.239916757989441,1.3458732659316608,1.8988515199027707
Tuberculosis,Kilinochchi,0.617914187880136,1.2049115721606427,0.7647058823529411,1.491150365243125,123756,51,0.0,1.8228257600407787,3.027737332201421
Tuberculosis,Kurunegala,0.47795445606365405,0.40583697897824106,8.450980392156863,7.175830894022504,1768156,51,0.072117477085413,0.8837914350418952,1.2896284140201362
Tuberculosis,Mannar,0.682756040342689,1.1876815578889475,1.1764705882352942,2.0465178460296034,172312,51,0.0,1.8704375982316366,3.058119156120584
Tuberculosis,Matale,0.6661612772730707,0.8267730274327917,3.5098039215686274,4.35601904963515,526870,51,0.0,1.4929343047058623,2.319707332138654
Tuberculosis,Matara,0.5577893412472835,0.40607876514251445,3.7450980392156863,2.7264859233445673,671418,51,0.15171057610476907,0.963868106389798,1.3699468715323124
Tuberculosis,Monaragala,0.5426130572399169,0.5635766072129667,2.8627450980392157,2.9733456431645298,527585,51,0.0,1.1061896644528835,1.6697662716658503
Tuberculosis,Mullaitivu,0.6167341488566752,1.1081072215974634,0.8431372549019608,1.514893382645892,136710,51,0.0,1.7248413704541385,2.832948592051602
Tuberculosis,Nuwara Eliya,0.716423785485957,0.4548041292140763,5.196078431372549,3.2986033883638526,725280,51,0.26161965627188066,1.1712279147000333,1.6260320439141096
Tuberculosis,Polonnaruwa,0.4249906786838258,0.6510835259410861,1.9019607843137254,2.913794103644143,447530,51,0.0,1.0760742046249119,1.727157730565998
Tuberculosis,Puttalam,0.6154271150386057,0.8704399803818466,5.03921568627451,7.127301829763422,818816,51,0.0,1.4858670954204523,2.356307075802299
Tuberculosis,Ratnapura,0.6693306024644753,0.5300917395728321,7.666666666666667,6.07179270616732,1145423,51,0.13923886289164322,1.1994223420373074,1.7295140816101395
Tuberculosis,Trincomalee,0.6775909383505178,0.7311844992597837,3.0,3.2372828112477294,442745,51,0.0,1.4087754376103014,2.1399599368700852
Tuberculosis,Vavuniya,1.183324274506286,1.5923918573562026,1.4509803921568627,1.952574971571602,122619,51,0.0,2.7757161318624886,4.368107989218691
