week_number,area_reported,cases_reported,disease,Region,Population,incidence_per_100k,lower_threshold,upper_threshold,outbreak_threshold,risk_level
5,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
5,Badulla,3,Dysentery,Badulla,872307,0.3439156168642462,0.0,0.2030811009333332,0.31797871036301356,High Risk
5,Batticaloa,4,Dysentery,Batticaloa,595918,0.671233290486275,0.04546648792177449,0.7096709638752847,1.04177320185204,Normal
5,Colombo,1,Dysentery,Colombo,2375415,0.0420979071025484,0.0,0.10771529450315195,0.17414225704034297,Normal
5,Galle,3,Dysentery,Galle,1097372,0.2733804033636725,0.0,0.31311851162715504,0.47202243674146915,Normal
5,Gampaha,1,Dysentery,Gampaha,2436142,0.04104851030851239,0.0,0.13140642503886504,0.20597645118902064,Normal
5,Hambantota,0,Dysentery,Hambantota,837889,0.0,0.0,0.1603972618550357,0.24964502226610374,Normal
5,Jaffna,6,Dysentery,Jaffna,594751,1.0088255421176258,0.0,0.39062874603642456,0.5904859953262468,High Risk
5,Kalmunai,1,Dysentery,Kalmunai,52798,1.8940111367854844,0.0,3.619375203727471,5.7089721815897425,Normal
5,Kalutara,0,Dysentery,Kalutara,1305784,0.0,0.0,0.13860505357343197,0.21830061145456192,Normal
5,Kandy,1,Dysentery,Kandy,1461895,0.06840436556661046,0.0,0.10103289087393189,0.16523266182738122,Normal
5,Kegalle,1,Dysentery,Kegalle,870476,0.11487967502837529,0.0,0.2983728125670497,0.4774475010661711,Normal
5,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
5,Kurunegala,1,Dysentery,Kurunegala,1768156,0.05655609572910987,0.0010249373527276284,0.21867374221035302,0.3274981446391657,Normal
5,Mannar,0,Dysentery,Mannar,172312,0.0,0.0,0.8232922102198853,1.4122152796682899,Normal
5,Matale,1,Dysentery,Matale,526870,0.18980014045210392,0.0,0.2734278698085139,0.46290567749398187,Normal
5,Matara,0,Dysentery,Matara,671418,0.0,0.0,0.1601078791758683,0.26293171404321575,Normal
5,Monaragala,1,Dysentery,Monaragala,527585,0.18954291725503947,0.0,0.30649439775969956,0.4854118319823533,Normal
5,Mullaitivu,0,Dysentery,Mullaitivu,136710,0.0,0.0,0.5193679204653832,0.8840006631541137,Normal
5,Nuwara Eliya,3,Dysentery,Nuwara Eliya,725280,0.413633355393779,0.0,0.6979024411790662,1.0749738823411628,Normal
5,Polonnaruwa,1,Dysentery,Polonnaruwa,447530,0.22344870734922798,0.0,0.23184613934708365,0.36056210607144673,Normal
5,Puttalam,0,Dysentery,Puttalam,818816,0.0,0.0,0.24621809202003359,0.4008405141948272,Normal
5,Ratnapura,2,Dysentery,Ratnapura,1145423,0.17460798325160223,0.07394248078540822,0.3491460940165511,0.4867479006321226,Normal
5,Trincomalee,0,Dysentery,Trincomalee,442745,0.0,0.0,0.21459021877615977,0.34230980443045833,Normal
5,Vavuniya,0,Dysentery,Vavuniya,122619,0.0,0.0,0.8993984542089735,1.4851298709968421,Normal
6,Ampara,1,Dysentery,Ampara,744551,0.1343091339612733,0.0,0.21664068022296257,0.3273837740533827,Normal
6,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
6,Badulla,0,Dysentery,Badulla,872307,0.0,0.0,0.2030811009333332,0.31797871036301356,Normal
6,Batticaloa,2,Dysentery,Batticaloa,595918,0.3356166452431375,0.04546648792177449,0.7096709638752847,1.04177320185204,Normal
6,Colombo,0,Dysentery,Colombo,2375415,0.0,0.0,0.10771529450315195,0.17414225704034297,Normal
6,Galle,2,Dysentery,Galle,1097372,0.18225360224244833,0.0,0.31311851162715504,0.47202243674146915,Normal
6,Gampaha,2,Dysentery,Gampaha,2436142,0.08209702061702479,0.0,0.13140642503886504,0.20597645118902064,Normal
6,Hambantota,0,Dysentery,Hambantota,837889,0.0,0.0,0.1603972618550357,0.24964502226610374,Normal
6,Jaffna,1,Dysentery,Jaffna,594751,0.16813759035293763,0.0,0.39062874603642456,0.5904859953262468,Normal
6,Kalmunai,0,Dysentery,Kalmunai,52798,0.0,0.0,3.619375203727471,5.7089721815897425,Normal
