week_number,area_reported,cases_reported
35,Vavuniya,0
35,Mullaitivu,0
35,Batticaloa,2
35,Ampara,1
35,Trincomalee,0
35,Kalmune,3
35,Kurunegala,3
35,Puttalam,0
35,Anuradhapura,6
35,Polonnaruwa,0
35,Badulla,2
35,Monaragala,2
35,Ratnapura,12
35,Kegalle,9
36,Colombo,39
36,Gampaha,20
36,Kalutara,0
36,Kandy,16
36,Matale,2
36,NuwaraEliya,9
36,Galle,5
36,Hambantota,4
36,Matara,6
36,Jaffna,5
36,Kilinochchi,1
36,Mannar,2
36,Vavuniya,4
36,Mullaitivu,0
36,Batticaloa,2
36,Ampara,1
36,Trincomalee,9
36,Kalmune,8
36,Kurunegala,8
36,Puttalam,3
36,Anuradhapura,7
36,Polonnaruwa,0
36,Badulla,5
36,Monaragala,6
36,Ratnapura,14
36,Kegalle,13
37,Colombo,41
37,Gampaha,37
37,Kalutara,7
37,Kandy,6
37,Matale,1
37,NuwaraEliya,6
37,Galle,11
37,Hambantota,0
37,Matara,9
37,Jaffna,0
37,Kilinochchi,0
37,Mannar,0
37,Vavuniya,0
37,Mullaitivu,4
37,Batticaloa,5
37,Ampara,0
37,Trincomalee,0
37,Kalmune,0
37,Kurunegala,8
37,Puttalam,1
37,Anuradhapura,10
37,Polonnaruwa,0
37,Badulla,5
37,Monaragala,2
37,Ratnapura,0
37,Kegalle,0
38,Colombo,28
38,Gampaha,19
38,Kalutara,18
38,Kandy,19
38,Matale,1
38,NuwaraEliya,4
38,Galle,4
38,Hambantota,4
38,Matara,7
38,Jaffna,0
38,Kilinochchi,1
38,Mannar,3
38,Vavuniya,2
38,Mullaitivu,0
38,Batticaloa,3
38,Ampara,0
38,Trincomalee,0
38,Kalmune,3
38,Kurunegala,4
38,Puttalam,21
38,Anuradhapura,0
38,Polonnaruwa,0
38,Badulla,6
38,Monaragala,2
38,Ratnapura,6
38,Kegalle,9
39,Colombo,28
39,Gampaha,19
39,Kalutara,18
39,Kandy,19
39,Matale,1
39,NuwaraEliya,4
39,Galle,4
39,Hambantota,4
39,Matara,7
39,Jaffna,0
39,Kilinochchi,1
39,Mannar,3
39,Vavuniya,2
39,Mullaitivu,0
39,Batticaloa,3
39,Ampara,0
39,Trincomalee,0
39,Kalmune,3
39,Kurunegala,4
39,Puttalam,21
39,Anuradhapura,0
39,Polonnaruwa,0
39,Badulla,6
39,Monaragala,2
39,Ratnapura,6
39,Kegalle,9
40,Colombo,45
40,Gampaha,20
40,Kalutara,17
40,Kandy,18
40,Matale,3
40,NuwaraEliya,5
40,Galle,13
40,Hambantota,2
40,Matara,3
40,Jaffna,10
40,Kilinochchi,5
40,Mannar,9
40,Vavuniya,1
40,Mullaitivu,0
40,Batticaloa,2
40,Ampara,2
40,Trincomalee,6
40,Kalmune,2
40,Kurunegala,3
40,Puttalam,3
40,Anuradhapura,1
40,Polonnaruwa,0
40,Badulla,8
40,Monaragala,2
40,Ratnapura,12
40,Kegalle,2
41,Colombo,59
41,Gampaha,21
41,Kalutara,0
41,Kandy,16
41,Matale,2
41,NuwaraEliya,7
41,Galle,13
41,Hambantota,0
41,Matara,3
41,Jaffna,9
41,Kilinochchi,0
41,Mannar,1
41,Vavuniya,0
41,Mullaitivu,3
41,Batticaloa,2
41,Ampara,2
41,Trincomalee,5
41,Kalmune,4
41,Kurunegala,6
41,Puttalam,0
41,Anuradhapura,4
41,Polonnaruwa,0
41,Badulla,3
41,Monaragala,4
41,Ratnapura,9
41,Kegalle,13
42,Colombo,27
42,Gampaha,16
42,Kalutara,1
42,Kandy,0
42,Matale,0
42,NuwaraEliya,6
42,Galle,7
